ts,open,high,low,close,vol
1502942400000,4261.48,4280.56,4261.48,4261.48,2.189061
1502943300000,4261.48,4270.41,4261.32,4261.45,9.119865
1502944200000,4280.0,4310.07,4267.99,4310.07,21.923552
1502945100000,4310.07,4313.62,4291.37,4308.83,13.948531
1502946000000,4308.83,4328.69,4304.31,4304.31,5.101153
1502946900000,4320.0,4320.0,4312.14,4320.0,15.947495
1502947800000,4320.0,4320.0,4291.37,4291.37,2.155453
1502948700000,4297.04,4315.32,4297.04,4315.32,0.030815
1502949600000,4330.29,4330.29,4318.39,4330.0,0.065364
1502950500000,4309.37,4330.29,4309.37,4311.02,3.500913
1502951400000,4328.65,4345.45,4319.83,4345.45,3.494176
1502952300000,4345.45,4345.45,4324.35,4324.35,0.169238
1502953200000,4316.62,4316.62,4316.62,4316.62,0.001541
1502954100000,4291.38,4291.38,4291.38,4291.38,0.038918
1502955000000,4291.39,4300.0,4291.39,4300.0,0.718901
1502955900000,4287.41,4349.99,4287.41,4349.99,3.683889
1502956800000,4333.32,4377.85,4333.32,4360.71,0.766417
1502957700000,4360.71,4360.71,4360.7,4360.7,0.075843
1502958600000,4360.7,4360.7,4360.0,4360.69,0.099262
1502959500000,4360.7,4360.7,4360.69,4360.69,0.031285
1502960400000,4360.0,4360.0,4360.0,4360.0,0.006296
1502961300000,4360.0,4360.0,4360.0,4360.0,2.288705
1502962200000,4360.0,4445.78,4360.0,4436.51,8.4108
1502963100000,4444.0,4444.0,4444.0,4444.0,0.057822
1502964000000,4441.1,4441.1,4399.81,4400.0,4.65968
1502964900000,4400.0,4443.0,4400.0,4440.0,0.614651
1502965800000,4400.0,4419.0,4400.0,4415.0,2.078235
1502966700000,4419.0,4470.0,4419.0,4460.0,17.512833
1502967600000,4460.0,4474.8,4454.72,4474.8,16.084544
1502968500000,4474.8,4485.39,4465.06,4485.39,8.844785
1502969400000,4485.39,4485.39,4459.96,4469.93,0.583082
1502970300000,4469.93,4469.93,4427.3,4427.3,1.505642
1502971200000,4436.06,4449.56,4436.06,4441.87,11.174158
1502972100000,4441.87,4441.87,4418.12,4418.12,9.921389
1502973000000,4417.0,4431.13,4411.01,4431.13,1.089877
1502973900000,4430.0,4431.13,4411.0,4411.0,0.846974
1502974800000,4411.0,4445.88,4411.0,4445.88,1.258943
1502975700000,4430.43,4440.0,4422.6,4440.0,2.459375
1502976600000,4435.12,4445.0,4425.21,4445.0,7.50464
1502977500000,4432.07,4459.0,4425.6,4459.0,20.089478
1502978400000,4459.0,4460.0,4435.93,4452.71,17.338465
1502979300000,4452.71,4469.46,4437.35,4467.81,4.310344
1502980200000,4467.81,4485.39,4452.57,4477.53,9.855382
1502981100000,4477.53,4477.53,4453.26,4470.82,20.231706
1502982000000,4470.82,4470.82,4453.67,4460.0,9.802889
1502982900000,4460.0,4470.82,4412.1,4432.2,12.79195
1502983800000,4432.2,4444.9,4374.04,4396.47,25.401316
1502984700000,4392.95,4425.83,4333.42,4352.34,20.485115
1502985600000,4352.33,4354.35,4255.3,4307.17,34.177553
1502986500000,4307.17,4336.69,4265.87,4290.17,19.032395
1502987400000,4290.17,4337.29,4290.17,4300.29,8.115841
1502988300000,4300.29,4354.18,4300.29,4354.18,6.133002
1502989200000,4354.18,4354.84,4326.99,4341.31,12.106329
1502990100000,4323.23,4354.84,4301.5,4335.28,9.295167
1502991000000,4335.28,4354.84,4328.15,4328.15,7.043752
1502991900000,4315.11,4328.15,4235.45,4289.24,31.219664
1502992800000,4289.24,4289.24,4218.68,4282.43,16.311995
1502993700000,4282.43,4302.45,4273.03,4287.69,8.6342
1502994600000,4287.69,4302.45,4237.85,4237.85,11.597114
1502995500000,4237.85,4267.01,4222.97,4256.97,14.731854
1502996400000,4241.91,4284.27,4200.74,4281.87,21.917131
1502997300000,4281.87,4302.44,4247.38,4287.61,11.248819
1502998200000,4287.61,4327.25,4287.61,4327.25,8.164408
1502999100000,4327.25,4335.3,4325.23,4325.23,5.380492
1503000000000,4307.56,4325.23,4261.0,4278.05,13.584171
1503000900000,4278.05,4325.23,4273.16,4273.16,12.581409
1503001800000,4258.56,4325.24,4258.56,4305.0,14.028272
1503002700000,4305.0,4354.84,4305.0,4346.74,8.78162
1503003600000,4346.74,4367.93,4315.85,4367.93,10.556113
1503004500000,4346.73,4369.69,4335.98,4349.33,18.736552
1503005400000,4349.33,4369.69,4322.65,4354.35,13.210825
1503006300000,4354.03,4368.68,4309.23,4333.55,19.269546
1503007200000,4333.55,4349.63,4322.39,4334.32,11.280595
1503008100000,4325.24,4326.29,4310.0,4326.29,14.960579
1503009000000,4326.28,4356.06,4319.11,4352.34,14.912675
1503009900000,4335.0,4359.13,4327.52,4336.8,16.222293
1503010800000,4313.39,4337.38,4300.0,4323.31,18.201416
1503011700000,4337.38,4337.38,4318.68,4327.89,21.135833
1503012600000,4327.89,4332.26,4314.13,4328.25,10.899352
1503013500000,4325.82,4332.26,4280.82,4285.08,31.408662
1503014400000,4285.08,4305.76,4267.78,4305.76,10.458487
1503015300000,4309.08,4309.92,4285.85,4292.11,15.912984
1503016200000,4292.11,4309.15,4286.01,4302.15,12.542524
1503017100000,4282.51,4340.62,4228.76,4286.53,43.521479
1503018000000,4269.36,4269.36,4200.0,4251.4,18.759223
1503018900000,4216.81,4238.89,4134.61,4214.97,34.553954
1503019800000,4214.97,4231.61,4200.6,4231.61,12.042901
1503020700000,4231.61,4269.36,4231.61,4243.59,10.328805
1503021600000,4251.95,4286.53,4234.0,4286.53,16.904034
1503022500000,4286.53,4298.64,4255.88,4278.05,22.667921
1503023400000,4278.05,4278.05,4242.75,4252.95,7.904031
1503024300000,4252.95,4267.59,4244.79,4267.59,6.595351
1503025200000,4244.77,4308.7,4244.77,4308.7,8.59993
1503026100000,4308.7,4308.7,4244.77,4244.77,20.493097
1503027000000,4244.77,4280.33,4234.0,4277.81,18.30122
1503027900000,4277.81,4296.6,4269.07,4292.39,16.607102
