ts,open,high,low,close,vol
1696219200000,0.41279,0.41489,0.40154,0.4107,664687.0
1696233600000,0.4107,0.42457,0.41042,0.42221,5025148.0
1696248000000,0.42221,0.4238,0.41205,0.41252,3667134.0
1696262400000,0.41252,0.41432,0.40922,0.41228,2338869.0
1696276800000,0.41228,0.41257,0.40877,0.41257,753131.0
1696291200000,0.41257,0.41257,0.40877,0.41047,603889.0
1696305600000,0.41047,0.4136,0.41047,0.41178,928892.0
1696320000000,0.41178,0.4128,0.41065,0.41127,594157.0
1696334400000,0.41127,0.41424,0.41083,0.41083,790089.0
1696348800000,0.41083,0.41294,0.4101,0.41186,465454.0
1696363200000,0.41186,0.41275,0.41084,0.41126,406620.0
1696377600000,0.41126,0.41162,0.40757,0.40919,679811.0
1696392000000,0.40919,0.40969,0.40548,0.40549,1531180.0
1696406400000,0.40549,0.40839,0.40548,0.40734,594360.0
1696420800000,0.40734,0.4082,0.40538,0.40599,944355.0
1696435200000,0.40599,0.40821,0.40587,0.40634,555144.0
1696449600000,0.40634,0.40744,0.40612,0.40702,279860.0
1696464000000,0.40702,0.40724,0.40579,0.40635,305583.0
1696478400000,0.40635,0.40719,0.40457,0.40596,269747.0
1696492800000,0.40596,0.40622,0.40498,0.4055,305353.0
1696507200000,0.4055,0.4092,0.40356,0.40484,354496.0
1696521600000,0.40484,0.40495,0.39773,0.39904,850149.0
1696536000000,0.39904,0.3997,0.39728,0.39819,1307811.0
1696550400000,0.39819,0.39819,0.3963,0.39713,453976.0
1696564800000,0.39713,0.39963,0.39701,0.39963,250897.0
1696579200000,0.39963,0.39963,0.39692,0.39745,319802.0
1696593600000,0.39745,0.39844,0.39362,0.39654,479896.0
1696608000000,0.39654,0.39825,0.39651,0.39706,318966.0
1696622400000,0.39706,0.39993,0.39614,0.39614,178525.0
1696636800000,0.39614,0.39635,0.39341,0.39386,513751.0
1696651200000,0.39386,0.39821,0.3932,0.39755,920959.0
1696665600000,0.39755,0.39755,0.3935,0.39369,351594.0
1696680000000,0.39369,0.3937,0.39225,0.39317,479001.0
1696694400000,0.39317,0.39416,0.39084,0.39084,168074.0
1696708800000,0.39084,0.39151,0.3901,0.39019,1094052.0
1696723200000,0.39019,0.39187,0.38934,0.39187,411261.0
1696737600000,0.39187,0.39187,0.38582,0.38703,900597.0
1696752000000,0.38703,0.38716,0.38233,0.38275,634812.0
1696766400000,0.38275,0.38412,0.38056,0.38147,472633.0
1696780800000,0.38147,0.38198,0.37985,0.38001,586021.0
1696795200000,0.38001,0.3814,0.3786,0.379,324164.0
1696809600000,0.379,0.38409,0.37749,0.38278,582695.0
1696824000000,0.38278,0.38289,0.38067,0.38078,154069.0
1696838400000,0.38078,0.38081,0.37489,0.37584,1440345.0
1696852800000,0.37584,0.37694,0.37557,0.37558,376814.0
1696867200000,0.37558,0.37621,0.37133,0.37333,1238629.0
1696881600000,0.37333,0.37542,0.3725,0.37251,143974.0
1696896000000,0.37251,0.374,0.37202,0.37342,329433.0
1696910400000,0.37342,0.37347,0.37083,0.37093,324255.0
1696924800000,0.37093,0.3715,0.36934,0.36934,519984.0
1696939200000,0.36934,0.36953,0.36466,0.36477,805484.0
1696953600000,0.36477,0.36502,0.3616,0.36349,810028.0
1696968000000,0.36349,0.36382,0.36239,0.36298,270027.0
1696982400000,0.36298,0.36341,0.36016,0.36039,458597.0
1696996800000,0.36039,0.3605,0.35788,0.35808,505514.0
1697011200000,0.35808,0.35881,0.35647,0.3566,726223.0
1697025600000,0.3566,0.3566,0.35245,0.35357,1597368.0
1697040000000,0.35357,0.35476,0.35106,0.35331,856500.0
1697054400000,0.35331,0.35331,0.35045,0.35168,540841.0
1697068800000,0.35168,0.35278,0.35015,0.35089,395586.0
1697083200000,0.35089,0.35106,0.34776,0.34787,1894227.0
1697097600000,0.34787,0.348,0.34452,0.34466,1857246.0
1697112000000,0.34466,0.34571,0.34148,0.34149,1841815.0
1697126400000,0.34149,0.34297,0.33997,0.34113,1369597.0
1697140800000,0.34113,0.34116,0.33923,0.33925,1037358.0
1697155200000,0.33925,0.33936,0.33437,0.33499,1960225.0
1697169600000,0.33499,0.33757,0.33439,0.33549,2222084.0
1697184000000,0.33549,0.33851,0.32252,0.32323,5503240.0
1697198400000,0.32323,0.32644,0.32066,0.32351,3303783.0
1697212800000,0.32351,0.32531,0.32101,0.3215,1521558.0
1697227200000,0.3215,0.32978,0.32134,0.32143,3225672.0
1697241600000,0.32143,0.34103,0.32102,0.32936,6933507.0
1697256000000,0.32936,0.33487,0.3275,0.32794,1442531.0
1697270400000,0.32794,0.33009,0.32147,0.32574,1206920.0
1697284800000,0.32574,0.32988,0.32321,0.3278,1552038.0
1697299200000,0.3278,0.33063,0.32466,0.326,855876.0
1697313600000,0.326,0.3284,0.32408,0.3241,483078.0
1697328000000,0.3241,0.32829,0.32395,0.32432,442954.0
1697342400000,0.32432,0.32552,0.3223,0.32374,386798.0
1697356800000,0.32374,0.3258,0.32181,0.32284,661514.0
1697371200000,0.32284,0.3247,0.31877,0.32148,1270382.0
1697385600000,0.32148,0.32378,0.32045,0.3234,524663.0
1697400000000,0.3234,0.32341,0.3213,0.32161,534891.0
1697414400000,0.32161,0.32336,0.32135,0.3215,297952.0
1697428800000,0.3215,0.33,0.32068,0.328,1281320.0
1697443200000,0.328,0.32878,0.3242,0.3257,720169.0
1697457600000,0.3257,0.34438,0.3257,0.329,4758368.0
1697472000000,0.329,0.33839,0.32751,0.33175,1080453.0
1697486400000,0.33175,0.3343,0.33111,0.33234,412280.0
1697500800000,0.33234,0.3341,0.328,0.32961,714132.0
1697515200000,0.32961,0.33051,0.3264,0.32751,627779.0
1697529600000,0.32751,0.32949,0.32524,0.3269,1267815.0
1697544000000,0.3269,0.3277,0.32162,0.32609,1234093.0
1697558400000,0.32609,0.32725,0.3225,0.3237,774790.0
1697572800000,0.3237,0.3248,0.31835,0.32015,2156246.0
1697587200000,0.32015,0.32015,0.30712,0.3088,2568561.0
1697601600000,0.3088,0.31679,0.3088,0.31121,1594532.0
1697616000000,0.31121,0.3229,0.3112,0.32083,3472405.0
1697630400000,0.32083,0.3268,0.3191,0.3226,2275803.0
1697644800000,0.3226,0.3228,0.32073,0.32202,928898.0
1697659200000,0.32202,0.32261,0.3203,0.32049,302148.0
