tf,k,mode,stop,rr,direction,n_trades,win_rate,expectancy_R,profit_factor,avg_monthly,max_dd,sharpe,mar,pct_long
4h,2,cont,struct,2.0,both,144,0.4027777777777778,0.14978739234487318,1.2145227712886113,0.003549605214774511,-0.13340355680681704,0.5380013987875679,0.026608025301114935,0.5416666666666666
4h,2,cont,struct,2.0,short,76,0.2894736842105263,-0.20018868026327197,0.7248199690598555,-0.002269942995258048,-0.20037052946165224,-0.5727379043752693,-0.01132872684100223,0.0
4h,2,cont,struct,3.0,both,91,0.34065934065934067,0.27551415881601843,1.3466755584054235,0.004046294327631664,-0.13997924831704955,0.6069723459239735,0.028906387027217824,0.5604395604395604
4h,2,cont,struct,3.0,short,56,0.19642857142857142,-0.3078372705078852,0.6139544996445181,-0.0025497933973452937,-0.22601383656053864,-0.6376482155575887,-0.011281580969324072,0.0
4h,2,cont,atr,2.0,both,233,0.3562231759656652,0.014766325017212102,1.0062362074616038,0.0009128771980752897,-0.154800847322763,0.0679839306852093,0.005897107243682727,0.5321888412017167
4h,2,cont,atr,2.0,short,111,0.27927927927927926,-0.21908185176225095,0.6884092137709776,-0.0036479322139163673,-0.2807929183031853,-0.7464313920309666,-0.012991539230977055,0.0
4h,2,cont,atr,3.0,both,185,0.2810810810810811,0.04824037452190538,1.0402147818756768,0.001726562564089604,-0.19817713743293786,0.16060109864050073,0.00871221870723541,0.5405405405405406
4h,2,cont,atr,3.0,short,94,0.20212765957446807,-0.27912985253645617,0.6501936179631059,-0.003923582180439278,-0.2833819524884702,-0.7349585661090424,-0.013845561250407838,0.0
4h,2,rev,struct,2.0,both,101,0.36633663366336633,0.01985945648217466,1.013955175339971,0.0003846177825345739,-0.1525174717749841,0.06091573394665818,0.0025217949003378307,0.5148514851485149
4h,2,rev,struct,2.0,short,87,0.3333333333333333,-0.055718089429485314,0.9082820270866074,-0.0007316630390549368,-0.2113571060447723,-0.15997288332921927,-0.003461738536957195,0.0
4h,2,rev,struct,3.0,both,71,0.29577464788732394,0.07061833490008564,1.0687093436162718,0.0007410768062780879,-0.1564997233408738,0.14431054537170848,0.004735323427147153,0.5211267605633803
4h,2,rev,struct,3.0,short,72,0.25,-0.06489638168613276,0.9035860303521205,-0.0007440565942296012,-0.22295021745100874,-0.1381471356378311,-0.0033373216798638053,0.0
4h,2,rev,atr,2.0,both,216,0.3194444444444444,-0.10417089836407953,0.8511425340591103,-0.0037784729206175403,-0.33750390979104394,-0.4795263445338585,-0.011195345627127328,0.5231481481481481
4h,2,rev,atr,2.0,short,140,0.3357142857142857,-0.05022694417415941,0.9178180270747532,-0.0010724886281462329,-0.2652802991174352,-0.18558245601499204,-0.004042850644070858,0.0
4h,2,rev,atr,3.0,both,157,0.25477707006369427,-0.05986126435171286,0.9131116668619861,-0.0014023019121187884,-0.27472925612286725,-0.18960679469187933,-0.005104304987058373,0.5414012738853503
4h,2,rev,atr,3.0,short,104,0.2692307692307692,-0.001106155863168372,0.981006910016444,9.971429278459246e-06,-0.25505226042430484,-0.0027635266253770714,3.909563185941101e-05,0.0
4h,2,both,struct,2.0,both,90,0.4888888888888889,0.3809272137728438,1.6752269001787048,0.005197495682855923,-0.04417635815234566,1.0433127160086086,0.11765333088191535,0.6444444444444445
4h,2,both,struct,2.0,short,77,0.24675324675324675,-0.3214415045978674,0.5714913291842775,-0.0038413164888371053,-0.299012103780946,-0.9446999799818221,-0.012846692291932185,0.0
4h,2,both,struct,3.0,both,56,0.39285714285714285,0.45229537114548574,1.6759257552793807,0.004131796247744608,-0.06788655788966724,0.7551055517529885,0.06086324562897735,0.5892857142857143
4h,2,both,struct,3.0,short,71,0.2535211267605634,-0.07288861204559632,0.8818338069631865,-0.0004889367041948714,-0.23841098544843908,-0.15574282148957305,-0.0020508144927768577,0.0
4h,2,both,atr,2.0,both,425,0.3835294117647059,0.09793253086593287,1.1301223157855205,0.006265198957529649,-0.18317428153642767,0.5985292803092582,0.03420348590958549,0.5411764705882353
4h,2,both,atr,2.0,short,265,0.35094339622641507,0.000333780152192822,0.9855682668123796,-1.2011320169945383e-05,-0.2730230209660425,0.0008772255984472306,-4.3993799963993895e-05,0.0
